Owner_info,Bhk_info,price,Locality,Area_sqft,status,price_per_sqft
OWNER,2 , 26 L,muthangi,1160 ,Under ConstructionConstruction Status,"2,241 / sq ft"
OWNER,2 , 26 L,muthangi,1530 ,Under ConstructionConstruction Status,"1,699 / sq ft"
OWNER,2 , 26 L,muthangi,1160 ,Under ConstructionConstruction Status,"2,241 / sq ft"
OWNER,2 , 26 L,muthangi,1160 ,Under ConstructionConstruction Status,"2,241 / sq ft"
OWNER,2 , 26 L,muthangi,1530 ,Under ConstructionConstruction Status,"1,699 / sq ft"
OWNER,2 , 26 L,muthangi,1160 ,Under ConstructionConstruction Status,"2,241 / sq ft"
OWNER,2 , 26 L,muthangi,1500 ,Under ConstructionConstruction Status,"1,733 / sq ft"
OWNER,2 , 26 L,muthangi,1500 ,Under ConstructionConstruction Status,"1,733 / sq ft"
OWNER,3 , 36 L,muthangi,1560 ,Under ConstructionConstruction Status,"2,307 / sq ft"
OWNER,3 , 36 L,muthangi,1560 ,Under ConstructionConstruction Status,"2,307 / sq ft"
OWNER,2 , 26 L,muthangi,1500 ,Under ConstructionConstruction Status,"1,733 / sq ft"
OWNER,2 , 26 L,muthangi,1160 ,Under ConstructionConstruction Status,"2,241 / sq ft"
OWNER,2 , 26 L,muthangi,1500 ,Under ConstructionConstruction Status,"1,733 / sq ft"
OWNER,2 , 26 L,muthangi,1500 ,Under ConstructionConstruction Status,"1,733 / sq ft"
OWNER,3 , 36 L,muthangi,1560 ,Under ConstructionConstruction Status,"2,307 / sq ft"
OWNER,2 , 26 L,muthangi,1160 ,Under ConstructionConstruction Status,"2,241 / sq ft"
OWNER,3 , 43.4 L,Miyapur,1240 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,3 , 43.4 L,Miyapur,1240 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,3 , 43.4 L,Miyapur,1240 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,3 , 43.4 L,Miyapur,1240 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,3 , 43.4 L,Miyapur,1240 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,3 , 43.4 L,Miyapur,1240 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,2 , 35.7 L,Miyapur,1020 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,3 , 43.4 L,Miyapur,1240 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,2 , 26 L,muthangi,1160 ,Under ConstructionConstruction Status,"2,241 / sq ft"
OWNER,2 , 35.7 L,Miyapur,1020 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,3 , 36 L,muthangi,1560 ,Under ConstructionConstruction Status,"2,307 / sq ft"
OWNER,3 , 36 L,muthangi,1560 ,Under ConstructionConstruction Status,"2,307 / sq ft"
OWNER,2 , 26 L,muthangi,1160 ,Under ConstructionConstruction Status,"2,241 / sq ft"
OWNER,2 , 26 L,muthangi,1160 ,Under ConstructionConstruction Status,"2,241 / sq ft"
OWNER,3 , 36 L,muthangi,1560 ,Under ConstructionConstruction Status,"2,307 / sq ft"
OWNER,3 , 36 L,muthangi,1560 ,Under ConstructionConstruction Status,"2,307 / sq ft"
OWNER,2 , 35.7 L,Miyapur,1020 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,2 , 36 L,muthangi,1570 ,Under ConstructionConstruction Status,"2,292 / sq ft"
OWNER,2 , 26 L,muthangi,1500 ,Under ConstructionConstruction Status,"1,733 / sq ft"
OWNER,2 , 26 L,muthangi,1160 ,Under ConstructionConstruction Status,"2,241 / sq ft"
OWNER,3 , 36 L,muthangi,1560 ,Under ConstructionConstruction Status,"2,307 / sq ft"
OWNER,2 , 35.7 L,Miyapur,1020 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,2 , 26 L,muthangi,1160 ,Under ConstructionConstruction Status,"2,241 / sq ft"
OWNER,2 , 35.7 L,Miyapur,1020 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,2 , 35.7 L,Miyapur,1020 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,2 , 35.7 L,Miyapur,1020 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,3 , 43.4 L,Miyapur,1240 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,3 , 43.4 L,Miyapur,1240 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,3 , 43.4 L,Miyapur,1240 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,3 , 1.31 Cr,AS Rao Nagar,3000 ,Ready to moveConstruction Status,"4,366 / sq ft"
OWNER,3 , 1.19 Cr,AS Rao Nagar,3000 ,Ready to moveConstruction Status,"3,966 / sq ft"
OWNER,3 , 1.31 Cr,AS Rao Nagar,3000 ,Ready to moveConstruction Status,"4,366 / sq ft"
OWNER,3 , 1.31 Cr,AS Rao Nagar,3000 ,Ready to moveConstruction Status,"4,366 / sq ft"
OWNER,3 , 1.31 Cr,AS Rao Nagar,3000 ,Ready to moveConstruction Status,"4,366 / sq ft"
OWNER,3 , 1.31 Cr,AS Rao Nagar,3000 ,Ready to moveConstruction Status,"4,366 / sq ft"
OWNER,2 , 60 L,Pasumamula,1300 ,Under ConstructionConstruction Status,"4,615 / sq ft"
OWNER,2 , 60 L,Pasumamula,1300 ,Under ConstructionConstruction Status,"4,615 / sq ft"
OWNER,2 , 60 L,Pasumamula,1300 ,Under ConstructionConstruction Status,"4,615 / sq ft"
OWNER,2 , 60 L,Pasumamula,1300 ,Under ConstructionConstruction Status,"4,615 / sq ft"
OWNER,2 , 60 L,Pasumamula,1300 ,Under ConstructionConstruction Status,"4,615 / sq ft"
OWNER,2 , 60 L,Pasumamula,1300 ,Under ConstructionConstruction Status,"4,615 / sq ft"
OWNER,2 , 60 L,Pasumamula,1300 ,Under ConstructionConstruction Status,"4,615 / sq ft"
OWNER,2 , 60 L,Pasumamula,1300 ,Under ConstructionConstruction Status,"4,615 / sq ft"
OWNER,2 , 1.29 Cr,Madhapur,1360 ,Ready to moveConstruction Status,"9,485 / sq ft"
OWNER,4 , 1 Cr,Kondakal,1800 ,Under ConstructionConstruction Status,"5,555 / sq ft"
OWNER,4 , 1 Cr,Kondakal,1800 ,Under ConstructionConstruction Status,"5,555 / sq ft"
OWNER,3 , 45 L,Kishan Bagh,900 ,Ready to moveConstruction Status,"5,000 / sq ft"
OWNER,2 , 62 L,Chengicherla,1197 ,Ready to moveConstruction Status,"5,179 / sq ft"
OWNER,2 , 53.72 L,Karmanghat,1130 ,Ready to moveConstruction Status,"4,753 / sq ft"
OWNER,2 , 32 L,Meerpet,870 ,Ready to moveConstruction Status,"3,678 / sq ft"
OWNER,3 , 1.66 Cr,Nanakramguda,1870 ,Ready to moveConstruction Status,"8,877 / sq ft"
OWNER,2 , 26 L,Manikonda,700 ,Ready to moveConstruction Status,"3,714 / sq ft"
OWNER,2 , 62 L,Chengicherla,1197 ,Ready to moveConstruction Status,"5,179 / sq ft"
OWNER,2 , 32 L,Jeedimetla,864 ,Ready to moveConstruction Status,"3,703 / sq ft"
OWNER,2 , 32 L,Jeedimetla,864 ,Ready to moveConstruction Status,"3,703 / sq ft"
OWNER,3 , 35 L,muthangi,1595 ,Under ConstructionConstruction Status,"2,194 / sq ft"
OWNER,3 , 35 L,muthangi,1595 ,Under ConstructionConstruction Status,"2,194 / sq ft"
OWNER,3 , 35 L,muthangi,1595 ,Under ConstructionConstruction Status,"2,194 / sq ft"
OWNER,3 , 35 L,muthangi,1595 ,Under ConstructionConstruction Status,"2,194 / sq ft"
OWNER,3 , 35 L,muthangi,1595 ,Under ConstructionConstruction Status,"2,194 / sq ft"
OWNER,3 , 35 L,muthangi,1595 ,Under ConstructionConstruction Status,"2,194 / sq ft"
OWNER,2 , 26 L,muthangi,1170 ,Under ConstructionConstruction Status,"2,222 / sq ft"
OWNER,2 , 26 L,muthangi,1170 ,Under ConstructionConstruction Status,"2,222 / sq ft"
OWNER,2 , 26 L,muthangi,1170 ,Under ConstructionConstruction Status,"2,222 / sq ft"
OWNER,2 , 26 L,muthangi,1170 ,Under ConstructionConstruction Status,"2,222 / sq ft"
OWNER,3 , 35 L,muthangi,1595 ,Under ConstructionConstruction Status,"2,194 / sq ft"
OWNER,2 , 26 L,muthangi,1170 ,Under ConstructionConstruction Status,"2,222 / sq ft"
OWNER,2 , 26 L,muthangi,1170 ,Under ConstructionConstruction Status,"2,222 / sq ft"
OWNER,3 , 35 L,muthangi,1595 ,Under ConstructionConstruction Status,"2,194 / sq ft"
OWNER,2 , 26 L,muthangi,1170 ,Under ConstructionConstruction Status,"2,222 / sq ft"
OWNER,3 , 35 L,muthangi,1595 ,Under ConstructionConstruction Status,"2,194 / sq ft"
OWNER,2 , 26 L,muthangi,1170 ,Under ConstructionConstruction Status,"2,222 / sq ft"
OWNER,2 , 26 L,muthangi,1170 ,Under ConstructionConstruction Status,"2,222 / sq ft"
OWNER,3 , 35 L,muthangi,1595 ,Under ConstructionConstruction Status,"2,194 / sq ft"
OWNER,2 , 26 L,muthangi,1170 ,Under ConstructionConstruction Status,"2,222 / sq ft"
OWNER,2 , 26 L,muthangi,1170 ,Under ConstructionConstruction Status,"2,222 / sq ft"
OWNER,2 , 26 L,muthangi,1170 ,Under ConstructionConstruction Status,"2,222 / sq ft"
OWNER,3 , 35 L,muthangi,1595 ,Under ConstructionConstruction Status,"2,194 / sq ft"
OWNER,3 , 35 L,muthangi,1595 ,Under ConstructionConstruction Status,"2,194 / sq ft"
OWNER,2 , 26 L,muthangi,1170 ,Under ConstructionConstruction Status,"2,222 / sq ft"
OWNER,3 , 35 L,muthangi,1595 ,Under ConstructionConstruction Status,"2,194 / sq ft"
OWNER,3 , 35 L,muthangi,1595 ,Under ConstructionConstruction Status,"2,194 / sq ft"
OWNER,3 , 35 L,muthangi,1595 ,Under ConstructionConstruction Status,"2,194 / sq ft"
OWNER,2 , 65 L,Suchitra,1220 ,Ready to moveConstruction Status,"5,327 / sq ft"
OWNER,Residential Plot, 24 L,Desh Mukhi,1850 ,ResaleNew/Resale,"1,297 / sq ft"
OWNER,Residential Plot, 28 L,Shankarpalli,1500 ,ResaleNew/Resale,"1,866 / sq ft"
OWNER,3 , 69.7 L,Bachupally,1470 ,Ready to moveConstruction Status,"4,741 / sq ft"
OWNER,3 , 69.5 L,Bachupally,1470 ,Ready to moveConstruction Status,"4,727 / sq ft"
OWNER,3 , 54.44 L,Kompally,1945 ,Under ConstructionConstruction Status,"2,798 / sq ft"
OWNER,2 , 50 L,Shankarpalli,1182 ,Under ConstructionConstruction Status,"4,230 / sq ft"
OWNER,2 , 50 L,Shankarpalli,1182 ,Under ConstructionConstruction Status,"4,230 / sq ft"
OWNER,2 , 50 L,Shankarpalli,1182 ,Under ConstructionConstruction Status,"4,230 / sq ft"
OWNER,2 , 50 L,Shankarpalli,1182 ,Under ConstructionConstruction Status,"4,230 / sq ft"
OWNER,2 , 50 L,Shankarpalli,1182 ,Under ConstructionConstruction Status,"4,230 / sq ft"
OWNER,2 , 50 L,Shankarpalli,1182 ,Under ConstructionConstruction Status,"4,230 / sq ft"
OWNER,2 , 50 L,Shankarpalli,1182 ,Under ConstructionConstruction Status,"4,230 / sq ft"
OWNER,3 , 54.44 L,Kompally,1945 ,Under ConstructionConstruction Status,"2,798 / sq ft"
OWNER,3 , 54.44 L,Kompally,1945 ,Under ConstructionConstruction Status,"2,798 / sq ft"
OWNER,3 , 54.44 L,Kompally,1945 ,Under ConstructionConstruction Status,"2,798 / sq ft"
OWNER,3 , 54.44 L,Kompally,1945 ,Under ConstructionConstruction Status,"2,798 / sq ft"
OWNER,3 , 54.44 L,Kompally,1945 ,Under ConstructionConstruction Status,"2,798 / sq ft"
OWNER,3 , 54.44 L,Kompally,1945 ,Under ConstructionConstruction Status,"2,798 / sq ft"
OWNER,3 , 54.44 L,Kompally,1945 ,Under ConstructionConstruction Status,"2,798 / sq ft"
OWNER,3 , 54.44 L,Kompally,1945 ,Under ConstructionConstruction Status,"2,798 / sq ft"
OWNER,3 , 54.44 L,Kompally,1945 ,Under ConstructionConstruction Status,"2,798 / sq ft"
OWNER,3 , 54.44 L,Kompally,1945 ,Under ConstructionConstruction Status,"2,798 / sq ft"
OWNER,2 , 57 L,Alwal,1200 ,Ready to moveConstruction Status,"4,750 / sq ft"
OWNER,3 , 56 L,Vanasthalipuram,1310 ,Under ConstructionConstruction Status,"4,274 / sq ft"
OWNER,2 , 50 L,Shankarpalli,1182 ,Under ConstructionConstruction Status,"4,230 / sq ft"
OWNER,3 , 54.44 L,Kompally,1945 ,Under ConstructionConstruction Status,"2,798 / sq ft"
OWNER,3 , 54.44 L,Kompally,1945 ,Under ConstructionConstruction Status,"2,798 / sq ft"
OWNER,3 , 54.44 L,Kompally,1945 ,Under ConstructionConstruction Status,"2,798 / sq ft"
OWNER,Residential Plot, 43 L,Gachibowli,450 ,ResaleNew/Resale,"9,555 / sq ft"
OWNER,Residential Plot, 23 L,Shankarpalli,1530 ,ResaleNew/Resale,"1,503 / sq ft"
OWNER,4 , 90 L,Malkajgiri,2000 ,Under ConstructionConstruction Status,"4,500 / sq ft"
OWNER,2 , 65 L,Tellapur,1228 ,Under ConstructionConstruction Status,"5,293 / sq ft"
OWNER,3 , 90 L,East Marredpally,1525 ,Ready to moveConstruction Status,"5,901 / sq ft"
OWNER,2 , 35 L,Pragathi Nagar Kukatpally,1200 ,Under ConstructionConstruction Status,"2,916 / sq ft"
OWNER,Residential Plot, 6.57 L,Shadnagar,1314 ,ResaleNew/Resale,500 / sq ft
OWNER,4 , 2.3 Cr,Balapur,2520 ,Ready to moveConstruction Status,"9,126 / sq ft"
OWNER,2 , 30 L,Bandlaguda Jagir,947 ,Ready to moveConstruction Status,"3,167 / sq ft"
OWNER,2 , 52.96 L,Shankarpalli,1142 ,Under ConstructionConstruction Status,"4,637 / sq ft"
OWNER,2 , 40 L,Sainikpuri,950 ,Ready to moveConstruction Status,"4,210 / sq ft"
OWNER,2 , 40 L,Sainikpuri,950 ,Ready to moveConstruction Status,"4,210 / sq ft"
OWNER,2 , 45 L,Patancheru,930 ,Under ConstructionConstruction Status,"4,838 / sq ft"
OWNER,2 , 45 L,Patancheru,930 ,Under ConstructionConstruction Status,"4,838 / sq ft"
OWNER,2 , 45 L,Patancheru,930 ,Under ConstructionConstruction Status,"4,838 / sq ft"
OWNER,2 , 45 L,Patancheru,930 ,Under ConstructionConstruction Status,"4,838 / sq ft"
OWNER,2 , 45 L,Patancheru,930 ,Under ConstructionConstruction Status,"4,838 / sq ft"
OWNER,2 , 40 L,Sainikpuri,950 ,Ready to moveConstruction Status,"4,210 / sq ft"
OWNER,2 , 40 L,Sainikpuri,950 ,Ready to moveConstruction Status,"4,210 / sq ft"
OWNER,2 , 1.05 Cr,Bandlaguda Jagir,1100 ,Ready to moveConstruction Status,"9,545 / sq ft"
OWNER,2 , 1.05 Cr,Bandlaguda Jagir,1100 ,Ready to moveConstruction Status,"9,545 / sq ft"
OWNER,2 , 66 L,Pedda Amberpet,1120 ,Ready to moveConstruction Status,"5,892 / sq ft"
OWNER,2 , 1.05 Cr,Bandlaguda Jagir,1100 ,Ready to moveConstruction Status,"9,545 / sq ft"
OWNER,2 , 59.5 L,Moosarambagh Road,1090 ,Ready to moveConstruction Status,"5,458 / sq ft"
OWNER,6 , 1.8 Cr,Kukatpally,3500 ,Ready to moveConstruction Status,"5,142 / sq ft"
OWNER,6 , 1.8 Cr,Kukatpally,3500 ,Ready to moveConstruction Status,"5,142 / sq ft"
OWNER,6 , 1.8 Cr,Kukatpally,3500 ,Ready to moveConstruction Status,"5,142 / sq ft"
OWNER,6 , 1.8 Cr,Kukatpally,3500 ,Ready to moveConstruction Status,"5,142 / sq ft"
OWNER,6 , 1.8 Cr,Kukatpally,3500 ,Ready to moveConstruction Status,"5,142 / sq ft"
OWNER,6 , 1.8 Cr,Kukatpally,3500 ,Ready to moveConstruction Status,"5,142 / sq ft"
OWNER,6 , 1.8 Cr,Kukatpally,3500 ,Ready to moveConstruction Status,"5,142 / sq ft"
OWNER,6 , 1.8 Cr,Kukatpally,3500 ,Ready to moveConstruction Status,"5,142 / sq ft"
OWNER,6 , 1.8 Cr,Kukatpally,3500 ,Ready to moveConstruction Status,"5,142 / sq ft"
OWNER,6 , 1.8 Cr,Kukatpally,3500 ,Ready to moveConstruction Status,"5,142 / sq ft"
OWNER,6 , 1.8 Cr,Kukatpally,3500 ,Ready to moveConstruction Status,"5,142 / sq ft"
OWNER,6 , 1.8 Cr,Kukatpally,3500 ,Ready to moveConstruction Status,"5,142 / sq ft"
OWNER,6 , 1.8 Cr,Kukatpally,3500 ,Ready to moveConstruction Status,"5,142 / sq ft"
OWNER,6 , 1.8 Cr,Kukatpally,3500 ,Ready to moveConstruction Status,"5,142 / sq ft"
OWNER,6 , 1.8 Cr,Kukatpally,3500 ,Ready to moveConstruction Status,"5,142 / sq ft"
OWNER,6 , 1.8 Cr,Kukatpally,3500 ,Ready to moveConstruction Status,"5,142 / sq ft"
OWNER,6 , 1.8 Cr,Kukatpally,3500 ,Ready to moveConstruction Status,"5,142 / sq ft"
OWNER,3 , 40 L,Bhanur,1600 ,Under ConstructionConstruction Status,"2,500 / sq ft"
OWNER,3 , 40 L,Bhanur,1600 ,Under ConstructionConstruction Status,"2,500 / sq ft"
OWNER,3 , 40 L,Bhanur,1600 ,Under ConstructionConstruction Status,"2,500 / sq ft"
OWNER,2 , 1.5 Cr,Osman Nagar,1032 ,Ready to moveConstruction Status,"14,534 / sq ft"
OWNER,2 , 1.5 Cr,Osman Nagar,1032 ,Ready to moveConstruction Status,"14,534 / sq ft"
OWNER,2 , 1.5 Cr,Osman Nagar,1032 ,Ready to moveConstruction Status,"14,534 / sq ft"
OWNER,Residential Plot, 36 L,Nagole,1800 ,ResaleNew/Resale,"2,000 / sq ft"
OWNER,Residential Plot, 20 L,Kothur Patti Digwal,1566 ,ResaleNew/Resale,"1,277 / sq ft"
OWNER,Residential Plot, 20 L,Kothur Patti Digwal,1566 ,ResaleNew/Resale,"1,277 / sq ft"
OWNER,Residential Plot, 20 L,Kothur Patti Digwal,1566 ,ResaleNew/Resale,"1,277 / sq ft"
OWNER,Residential Plot, 20 L,Kothur Patti Digwal,1566 ,ResaleNew/Resale,"1,277 / sq ft"
OWNER,Residential Plot, 20 L,Kothur Patti Digwal,1566 ,ResaleNew/Resale,"1,277 / sq ft"
OWNER,2 , 35 L,Patancheru,1000 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,3 , 84.5 L,Mettuguda,2325 ,Ready to moveConstruction Status,"3,634 / sq ft"
OWNER,Residential Plot, 48 L,Bhanur,1800 ,ResaleNew/Resale,"2,666 / sq ft"
OWNER,2 , 58 L,Badangpet,990 ,Ready to moveConstruction Status,"5,858 / sq ft"
OWNER,2 , 44 L,Pragathi Nagar Kukatpally,1200 ,Under ConstructionConstruction Status,"3,666 / sq ft"
OWNER,2 , 44 L,Pragathi Nagar Kukatpally,1200 ,Under ConstructionConstruction Status,"3,666 / sq ft"
OWNER,2 , 44 L,Pragathi Nagar Kukatpally,1200 ,Under ConstructionConstruction Status,"3,666 / sq ft"
OWNER,2 , 44 L,Pragathi Nagar Kukatpally,1200 ,Under ConstructionConstruction Status,"3,666 / sq ft"
OWNER,2 , 58 L,Badangpet,990 ,Ready to moveConstruction Status,"5,858 / sq ft"
OWNER,2 , 30 L,Kollur,1250 ,Under ConstructionConstruction Status,"2,400 / sq ft"
OWNER,Residential Plot, 30 L,Kothur,1575 ,ResaleNew/Resale,"1,904 / sq ft"
OWNER,Residential Plot, 30 L,Kothur,1575 ,ResaleNew/Resale,"1,904 / sq ft"
OWNER,3 , 91 L,Bollaram,1900 ,Ready to moveConstruction Status,"4,789 / sq ft"
OWNER,2 , 87 L,Kukatpally,1145 ,Ready to moveConstruction Status,"7,598 / sq ft"
OWNER,3 , 3 Cr,Kompally,2005 ,Ready to moveConstruction Status,"14,962 / sq ft"
OWNER,3 , 82 L,Kondapur,1515 ,Ready to moveConstruction Status,"5,412 / sq ft"
OWNER,3 , 82 L,Kondapur,1515 ,Ready to moveConstruction Status,"5,412 / sq ft"
OWNER,3 , 82 L,Kondapur,1515 ,Ready to moveConstruction Status,"5,412 / sq ft"
OWNER,6 , 2.2 Cr,Mokila,4000 ,Under ConstructionConstruction Status,"5,500 / sq ft"
OWNER,6 , 2.2 Cr,Mokila,4000 ,Under ConstructionConstruction Status,"5,500 / sq ft"
OWNER,6 , 2.2 Cr,Mokila,4000 ,Under ConstructionConstruction Status,"5,500 / sq ft"
OWNER,6 , 2.2 Cr,Mokila,4000 ,Under ConstructionConstruction Status,"5,500 / sq ft"
OWNER,6 , 2.2 Cr,Mokila,4000 ,Under ConstructionConstruction Status,"5,500 / sq ft"
OWNER,2 , 40 L,LB Nagar,750 ,Ready to moveConstruction Status,"5,333 / sq ft"
OWNER,2 , 29.5 L,Pragathi Nagar Kukatpally,1040 ,Ready to moveConstruction Status,"2,836 / sq ft"
OWNER,2 , 22 L,Shamirpet,1100 ,Ready to moveConstruction Status,"2,000 / sq ft"
OWNER,Residential Plot, 18.18 L,Chevella,2727 ,ResaleNew/Resale,666 / sq ft
OWNER,Residential Plot, 18.18 L,Chevella,2727 ,ResaleNew/Resale,666 / sq ft
OWNER,Residential Plot, 18.18 L,Chevella,2727 ,ResaleNew/Resale,666 / sq ft
OWNER,Residential Plot, 18.18 L,Chevella,2727 ,ResaleNew/Resale,666 / sq ft
OWNER,Residential Plot, 18.18 L,Chevella,2727 ,ResaleNew/Resale,666 / sq ft
OWNER,Residential Plot, 18.18 L,Chevella,2727 ,ResaleNew/Resale,666 / sq ft
OWNER,Residential Plot, 18.18 L,Chevella,2727 ,ResaleNew/Resale,666 / sq ft
OWNER,Residential Plot, 18.18 L,Chevella,2727 ,ResaleNew/Resale,666 / sq ft
OWNER,Residential Plot, 18.18 L,Chevella,2727 ,ResaleNew/Resale,666 / sq ft
OWNER,Residential Plot, 18.18 L,Chevella,2727 ,ResaleNew/Resale,666 / sq ft
OWNER,Residential Plot, 18.18 L,Chevella,2727 ,ResaleNew/Resale,666 / sq ft
OWNER,Residential Plot, 18.18 L,Chevella,2727 ,ResaleNew/Resale,666 / sq ft
OWNER,Residential Plot, 18.18 L,Chevella,2727 ,ResaleNew/Resale,666 / sq ft
OWNER,Residential Plot, 18.18 L,Chevella,2727 ,ResaleNew/Resale,666 / sq ft
OWNER,Residential Plot, 18.18 L,Chevella,2727 ,ResaleNew/Resale,666 / sq ft
OWNER,Residential Plot, 18.18 L,Chevella,2727 ,ResaleNew/Resale,666 / sq ft
OWNER,Residential Plot, 18.18 L,Chevella,2727 ,ResaleNew/Resale,666 / sq ft
OWNER,Residential Plot, 18.18 L,Chevella,2727 ,ResaleNew/Resale,666 / sq ft
OWNER,Residential Plot, 18.18 L,Chevella,2727 ,ResaleNew/Resale,666 / sq ft
OWNER,3 , 43.05 L,Miyapur,1230 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,2 , 38.5 L,Aminpur,1150 ,Under ConstructionConstruction Status,"3,347 / sq ft"
OWNER,3 , 56.65 L,Chandanagar,1590 ,Under ConstructionConstruction Status,"3,562 / sq ft"
OWNER,2 , 56.17 L,Miyapur,1605 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,3 , 55.82 L,Chandanagar Vill,1595 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,2 , 46.9 L,Chandanagar Vill,1340 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,2 , 35.87 L,Miyapur,1025 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,2 , 37.1 L,Miyapur,1060 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,2 , 43.05 L,Miyapur,1230 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,2 , 38.5 L,Miyapur,1100 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,3 , 53.55 L,Miyapur,1530 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,6 , 1.43 Cr,Mokila,2600 ,Under ConstructionConstruction Status,"5,500 / sq ft"
OWNER,3 , 85 L,Madhapur,1450 ,Ready to moveConstruction Status,"5,862 / sq ft"
OWNER,3 , 85 L,Madhapur,1450 ,Ready to moveConstruction Status,"5,862 / sq ft"
OWNER,3 , 85 L,Madhapur,1450 ,Ready to moveConstruction Status,"5,862 / sq ft"
OWNER,3 , 85 L,Madhapur,1450 ,Ready to moveConstruction Status,"5,862 / sq ft"
OWNER,3 , 85 L,Madhapur,1450 ,Ready to moveConstruction Status,"5,862 / sq ft"
OWNER,3 , 85 L,Madhapur,1450 ,Ready to moveConstruction Status,"5,862 / sq ft"
OWNER,3 , 85 L,Madhapur,1450 ,Ready to moveConstruction Status,"5,862 / sq ft"
OWNER,3 , 85 L,Madhapur,1450 ,Ready to moveConstruction Status,"5,862 / sq ft"
OWNER,3 , 85 L,Madhapur,1450 ,Ready to moveConstruction Status,"5,862 / sq ft"
OWNER,3 , 85 L,Madhapur,1450 ,Ready to moveConstruction Status,"5,862 / sq ft"
OWNER,3 , 85 L,Madhapur,1450 ,Ready to moveConstruction Status,"5,862 / sq ft"
OWNER,Residential Plot, 27 L,Kothur,1450 ,ResaleNew/Resale,"1,862 / sq ft"
OWNER,Residential Plot, 98 L,Kundanpally,3600 ,ResaleNew/Resale,"2,722 / sq ft"
OWNER,Residential Plot, 98 L,Kundanpally,3600 ,ResaleNew/Resale,"2,722 / sq ft"
